Month,ROC,State
Aug 2020,146.96774193548387,NM
Sept 2020,132.5,NM
Oct 2020,542.8709677419355,NM
Nov 2020,1662.1,NM
Dec 2020,1402.516129032258,NM
Jan 2020,0.0,ND
Feb 2020,0.0,ND
Mar 2020,5.9523809523809526,ND
Apr 2020,30.666666666666668,ND
May 2020,47.516129032258064,ND
Jun 2020,31.9,ND
Jul 2020,91.90322580645162,ND
Aug 2020,168.19354838709677,ND
Sept 2020,328.1666666666667,ND
Oct 2020,700.0,ND
Nov 2020,1140.3333333333333,ND
Dec 2020,414.2258064516129,ND
Jan 2020,0.0,WY
Feb 2020,0.0,WY
Mar 2020,5.714285714285714,WY
Apr 2020,14.033333333333333,WY
May 2020,10.870967741935484,WY
Jun 2020,19.233333333333334,WY
Jul 2020,39.096774193548384,WY
Aug 2020,34.61290322580645,WY
Sept 2020,69.4,WY
Oct 2020,232.74193548387098,WY
Nov 2020,652.7333333333333,WY
Dec 2020,342.06451612903226,WY
Jan 2020,0.0,AK
Feb 2020,0.0,AK
Mar 2020,6.6,AK
Apr 2020,7.0,AK
May 2020,3.4516129032258065,AK
Jun 2020,21.866666666666667,AK
Jul 2020,80.6774193548387,AK
Aug 2020,72.58064516129032,AK
Sept 2020,86.6,AK
Oct 2020,239.0,AK
Nov 2020,527.0,AK
Dec 2020,446.0967741935484,AK
Jan 2020,0.0,ME
Feb 2020,0.0,ME
Mar 2020,15.1,ME
Apr 2020,25.033333333333335,ME
May 2020,38.774193548387096,ME
Jun 2020,30.133333333333333,ME
Jul 2020,19.93548387096774,ME
Aug 2020,19.0,ME
Sept 2020,28.1,ME
Oct 2020,39.903225806451616,ME
Nov 2020,168.06666666666666,ME
Dec 2020,394.35483870967744,ME
Jan 2020,0.0,AL
Feb 2020,0.0,AL
Mar 2020,52.26315789473684,AL
Apr 2020,198.66666666666666,AL
May 2020,343.80645161290323,AL
Jun 2020,650.3666666666667,AL
Jul 2020,1572.9354838709678,AL
Aug 2020,1184.1612903225807,AL
Sept 2020,902.8333333333334,AL
Oct 2020,1178.741935483871,AL
Nov 2020,1851.3,AL
Dec 2020,3494.3870967741937,AL
Jan 2020,0.0,ID
Feb 2020,0.0,ID
Mar 2020,27.63157894736842,ID
Apr 2020,44.9,ID
May 2020,26.451612903225808,ID
Jun 2020,107.2,ID
Jul 2020,466.9032258064516,ID
Aug 2020,355.64516129032256,ID
Sept 2020,328.2,ID
